Sample_ID,Group,Growth,Strain,Growth_Medium,Carbon_Source,Nitrogen_Source,Supplement,Description,File_Name,Gene_Sum,Source
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,0.000119,Rlim_A
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,0.000127,Rlim_A
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,8.86E-05,Rlim_A
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,7.17E-05,Rlim_A
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,6.17E-05,Rlim_A
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,6.08E-05,Rlim_A
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,6.58E-05,Rlim_A
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,5.62E-05,Rlim_A
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,6.14E-05,Rlim_A
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,4.50E-05,Rlim_A
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,5.64E-05,Rlim_A
